id_transaccion,fecha,cliente_id,tipo_transaccion,monto,categoria,ciudad,canal,hora,estado,monto_absoluto,año,mes,dia_semana,trimestre,rango_monto,hora_num,sospechosa
TRX002852,2024-04-25,CLI3126,Deposito,1897898.46,Alimentación,Cartagena,Sucursal,04:46,Exitosa,1897898.46,2024,4,3,Q2,Grande,4,True
TRX001124,2024-12-17,CLI1939,Transferencia,1367393.5,Alimentacion,Cartagena,App Móvil,14:10,Pendiente,1367393.5,2024,12,1,Q4,Grande,14,False
TRX001010,2023-09-12,CLI3732,Retiro,-1236576.92,Salario,Cartagena,Cajero,00:17,Fallida,1236576.92,2023,9,1,Q3,Grande,0,True
TRX005909,2023-04-06,CLI4440,Transferencia,4939998.38,Servicios,Cartagena,Cajero,4:30,Exitosa,4939998.38,2023,4,3,Q2,Muy Grande,4,True
TRX006256,2024-11-04,CLI1028,Deposito,3133637.37,Alimentacion,Bogotá,Web,01:48,Pendiente,3133637.37,2024,11,0,Q4,Muy Grande,1,True
TRX007212,2024-01-23,CLI3496,Pago De Servicio,-3093095.51,Educacion,Medellín,App Móvil,10:24,Exitosa,3093095.51,2024,1,1,Q1,Muy Grande,10,True
TRX002914,2023-03-31,CLI2511,Transferencia,4008884.89,Entretenimiento,Cali,Sucursal,08:07,Exitosa,4008884.89,2023,3,4,Q1,Muy Grande,8,True
TRX005047,2023-01-20,CLI4854,Compra,-1411335.84,Alimentación,Medellín,Web,23:18,Exitosa,1411335.84,2023,1,4,Q1,Grande,23,False
TRX003662,2024-03-26,CLI4426,Pago De Servicio,-1601014.39,Otros,Medellín,App Móvil,16:18,Exitosa,1601014.39,2024,3,1,Q1,Grande,16,False
TRX005122,2024-10-09,CLI2460,Retiro,-387606.57,Servicios,Barranquilla,Sucursal,13:31,Exitosa,387606.57,2024,10,2,Q4,Mediano,13,False
TRX000587,2024-04-17,CLI3959,Deposito,3969978.7,Salud,Bogotá,Web,22:26,Pendiente,3969978.7,2024,4,2,Q2,Muy Grande,22,True
TRX003208,2024-03-26,CLI4405,Depósito,4602492.19,Otros,Bogotá,App Móvil,12:24,Pendiente,4602492.19,2024,3,1,Q1,Muy Grande,12,True
TRX002900,2024-09-20,CLI2966,Transferencia,4619985.17,Salario,Barranquilla,Sucursal,22:39,Exitosa,4619985.17,2024,9,4,Q3,Muy Grande,22,True
TRX003183,2024-07-25,CLI3849,Retiro,-1120948.86,Entretenimiento,Cartagena,Sucursal,11:44,Exitosa,1120948.86,2024,7,3,Q3,Grande,11,False
TRX006302,2023-06-22,CLI2597,Depósito,4385845.78,Salud,Barranquilla,Web,01:36,Pendiente,4385845.78,2023,6,3,Q2,Muy Grande,1,True
TRX003017,2024-05-14,CLI1219,Transferencia,3455891.33,Sin Categoría,Bogotá,Sucursal,17:48,Exitosa,3455891.33,2024,5,1,Q2,Muy Grande,17,True
TRX005651,2024-08-02,CLI3741,Pago De Servicio,-1757979.23,Educación,Cartagena,App Móvil,16:05,Exitosa,1757979.23,2024,8,4,Q3,Grande,16,False
TRX002606,2023-07-04,CLI2503,Depósito,79224.14,Transporte,Bogotá,Cajero,11:09,Exitosa,79224.14,2023,7,1,Q3,Pequeño,11,False
TRX005364,2023-12-03,CLI4621,Retiro,-2675736.62,Alimentación,Barranquilla,Web,19:03,Fallida,2675736.62,2023,12,6,Q4,Muy Grande,19,False
TRX006604,2024-11-21,CLI1109,Compra,-1593616.58,Salud,Cali,Sucursal,08:03,Fallida,1593616.58,2024,11,3,Q4,Grande,8,False
TRX001534,2024-03-11,CLI1438,Retiro,-1629954.38,Entretenimiento,Medellín,Sucursal,03:23,Exitosa,1629954.38,2024,3,0,Q1,Grande,3,True
TRX002032,2023-07-26,CLI2177,Transferencia,1197549.99,Sin Categoría,Bogotá,Cajero,04:13,Exitosa,1197549.99,2023,7,2,Q3,Grande,4,True
TRX005130,2024-07-26,CLI4449,Pago De Servicio,-2449074.74,Entretenimiento,Medellín,Sucursal,18:26,Exitosa,2449074.74,2024,7,4,Q3,Muy Grande,18,False
TRX000795,2024-01-06,CLI4746,Transferencia,3045831.99,Otros,Barranquilla,Sucursal,18:52,Pendiente,3045831.99,2024,1,5,Q1,Muy Grande,18,True
TRX001303,2024-11-03,CLI4343,Retiro,-636816.9,Sin Categoría,Medellín,App Móvil,07:52,Pendiente,636816.9,2024,11,6,Q4,Grande,7,False
TRX007060,2023-12-21,CLI3654,Compra,-1735800.66,Sin Categoría,Barranquilla,App Móvil,03:32,Pendiente,1735800.66,2023,12,3,Q4,Grande,3,True
TRX004085,2024-02-23,CLI4000,Pago De Servicio,-958432.33,Alimentación,Cartagena,Web,5:11,Pendiente,958432.33,2024,2,4,Q1,Grande,5,False
TRX004193,2024-04-23,CLI1325,Retiro,-1104193.03,Alimentacion,Medellín,Web,09:25,Exitosa,1104193.03,2024,4,1,Q2,Grande,9,False
TRX001730,2024-02-18,CLI1111,Retiro,-2427978.1,Alimentación,Cali,Cajero,08:20,Exitosa,2427978.1,2024,2,6,Q1,Muy Grande,8,False
TRX005013,2023-12-25,CLI1273,Deposito,2082148.75,Servicios,Barranquilla,App Móvil,04:54,Exitosa,2082148.75,2023,12,0,Q4,Muy Grande,4,True
TRX002182,2023-01-19,CLI4243,Retiro,-1157833.77,Alimentación,Cartagena,App Móvil,17:01,Exitosa,1157833.77,2023,1,3,Q1,Grande,17,False
TRX003414,2024-09-27,CLI1106,Pago De Servicio,-591705.15,Educacion,Barranquilla,Sucursal,08:21,Fallida,591705.15,2024,9,4,Q3,Grande,8,False
TRX003510,2024-10-21,CLI3718,Pago De Servicio,-4860687.97,Educación,Bogotá,App Móvil,09:38,Exitosa,4860687.97,2024,10,0,Q4,Muy Grande,9,True
TRX001673,2024-03-23,CLI2844,Transferencia,730479.81,Entretenimiento,Cartagena,App Móvil,15:19,Exitosa,730479.81,2024,3,5,Q1,Grande,15,False
TRX000234,2023-06-04,CLI3240,Deposito,2990451.19,Alimentación,Barranquilla,Cajero,13:41,Exitosa,2990451.19,2023,6,6,Q2,Muy Grande,13,False
TRX007536,2023-05-08,CLI4548,Deposito,3512499.31,Otros,Barranquilla,Web,01:10,Pendiente,3512499.31,2023,5,0,Q2,Muy Grande,1,True
TRX000319,2023-01-29,CLI3403,Transferencia,625528.09,Sin Categoría,Barranquilla,Sucursal,21:44,Exitosa,625528.09,2023,1,6,Q1,Grande,21,False
TRX003356,2024-08-03,CLI1086,Deposito,646180.55,Transporte,Bogotá,Web,15:03,Exitosa,646180.55,2024,8,5,Q3,Grande,15,False
TRX007145,2023-10-16,CLI3607,Compra,-1214304.12,Educación,Cartagena,Sucursal,07:52,Exitosa,1214304.12,2023,10,0,Q4,Grande,7,False
TRX004057,2024-07-19,CLI4245,Transferencia,3148036.73,Educación,Cali,App Móvil,06:00,Exitosa,3148036.73,2024,7,4,Q3,Muy Grande,6,True
TRX001863,2023-04-21,CLI3227,Retiro,-2305356.17,Entretenimiento,Barranquilla,App Móvil,12:06,Exitosa,2305356.17,2023,4,4,Q2,Muy Grande,12,False
TRX002496,2024-01-05,CLI2126,Retiro,-1177988.09,Transporte,Cartagena,Web,16:51,Fallida,1177988.09,2024,1,4,Q1,Grande,16,False
TRX006158,2024-04-22,CLI2865,Pago De Servicio,-1569158.45,Sin Categoría,Cali,Web,19:33,Fallida,1569158.45,2024,4,0,Q2,Grande,19,False
TRX004835,2023-01-26,CLI1196,Pago De Servicio,-837014.07,Alimentación,Medellín,Web,02:58,Exitosa,837014.07,2023,1,3,Q1,Grande,2,False
TRX002489,2023-03-11,CLI1528,Pago De Servicio,-807676.39,Alimentación,Cali,Cajero,17:05,Exitosa,807676.39,2023,3,5,Q1,Grande,17,False
TRX007538,2023-11-03,CLI1641,Depósito,3277474.71,Otros,Cartagena,Web,10:43,Exitosa,3277474.71,2023,11,4,Q4,Muy Grande,10,True
TRX006773,2023-02-23,CLI3096,Retiro,-1673809.93,Salud,Cartagena,Cajero,09:11,Pendiente,1673809.93,2023,2,3,Q1,Grande,9,False
TRX002317,2023-10-23,CLI4960,Deposito,202665.58,Transporte,Medellín,Cajero,6:50,Pendiente,202665.58,2023,10,0,Q4,Mediano,6,False
TRX000857,2024-04-20,CLI1198,Compra,-89290.45,Sin Categoría,Cali,Cajero,19:43,Exitosa,89290.45,2024,4,5,Q2,Pequeño,19,False
TRX005029,2024-10-29,CLI2421,Transferencia,984079.93,Salario,Cali,Sucursal,00:41,Exitosa,984079.93,2024,10,1,Q4,Grande,0,False
TRX004802,2023-10-28,CLI2578,Compra,-1849498.9,Alimentación,Bogotá,Sucursal,19:26,Pendiente,1849498.9,2023,10,5,Q4,Grande,19,False
TRX001759,2024-05-23,CLI3686,Compra,-1787908.17,Salud,Cali,App Móvil,15:46,Fallida,1787908.17,2024,5,3,Q2,Grande,15,False
TRX000454,2024-06-03,CLI3237,Deposito,3253857.56,Servicios,Barranquilla,App Móvil,18:42,Fallida,3253857.56,2024,6,0,Q2,Muy Grande,18,True
TRX000988,2024-05-15,CLI4126,Deposito,2752288.66,Transporte,Bogotá,Sucursal,11:26,Fallida,2752288.66,2024,5,2,Q2,Muy Grande,11,False
TRX003313,2023-04-07,CLI4440,Transferencia,2108014.76,Alimentación,Bogotá,Cajero,15:33,Exitosa,2108014.76,2023,4,4,Q2,Muy Grande,15,False
TRX004268,2024-04-12,CLI4598,Depósito,3627133.75,Salud,Cali,Web,04:03,Exitosa,3627133.75,2024,4,4,Q2,Muy Grande,4,True
TRX001503,2023-11-13,CLI3348,Transferencia,4865253.09,Sin Categoría,Cali,Cajero,02:23,Exitosa,4865253.09,2023,11,0,Q4,Muy Grande,2,True
TRX002265,2024-08-13,CLI1372,Retiro,-240827.15,Alimentación,Cali,Web,08:16,Exitosa,240827.15,2024,8,1,Q3,Mediano,8,False
TRX001262,2023-03-05,CLI3796,Pago De Servicio,-1666722.8,Educacion,Cartagena,Web,06:26,Exitosa,1666722.8,2023,3,6,Q1,Grande,6,False
TRX006111,2024-07-05,CLI1449,Transferencia,709797.71,Transporte,Cartagena,Cajero,18:50,Fallida,709797.71,2024,7,4,Q3,Grande,18,False
TRX002883,2024-11-29,CLI2413,Pago De Servicio,-3712288.94,Transporte,Cartagena,Web,23:38,Exitosa,3712288.94,2024,11,4,Q4,Muy Grande,23,True
TRX006323,2023-07-24,CLI2648,Compra,-399461.32,Salario,Cartagena,Sucursal,11:55,Exitosa,399461.32,2023,7,0,Q3,Mediano,11,False
TRX005653,2023-12-24,CLI2678,Retiro,-1121092.58,Alimentación,Cartagena,App Móvil,00:12,Exitosa,1121092.58,2023,12,6,Q4,Grande,0,True
TRX005705,2024-11-04,CLI1331,Deposito,3188577.85,Salud,Bogotá,App Móvil,16:03,Exitosa,3188577.85,2024,11,0,Q4,Muy Grande,16,True
TRX002998,2024-06-10,CLI3726,Depósito,746591.38,Servicios,Medellín,App Móvil,02:45,Exitosa,746591.38,2024,6,0,Q2,Grande,2,False
TRX002989,2023-06-29,CLI3933,Compra,-1250800.4,Salario,Medellín,Web,21:36,Pendiente,1250800.4,2023,6,3,Q2,Grande,21,False
TRX003160,2024-04-04,CLI2013,Depósito,1787426.88,Alimentacion,Cali,Sucursal,17:07,Exitosa,1787426.88,2024,4,3,Q2,Grande,17,False
TRX000812,2024-02-05,CLI2684,Transferencia,2154736.44,Servicios,Medellín,App Móvil,15:46,Exitosa,2154736.44,2024,2,0,Q1,Muy Grande,15,False
TRX003188,2024-02-29,CLI3095,Retiro,-1721027.47,Educación,Bogotá,Sucursal,01:52,Exitosa,1721027.47,2024,2,3,Q1,Grande,1,True
TRX001427,2023-03-06,CLI3983,Pago De Servicio,-2410510.05,Transporte,Medellín,Web,15:31,Fallida,2410510.05,2023,3,0,Q1,Muy Grande,15,False
TRX006404,2024-02-14,CLI3197,Transferencia,389497.86,Alimentación,Medellín,Web,19:57,Exitosa,389497.86,2024,2,2,Q1,Mediano,19,False
TRX005082,2023-02-22,CLI1511,Deposito,4641681.61,Sin Categoría,Medellín,App Móvil,04:42,Exitosa,4641681.61,2023,2,2,Q1,Muy Grande,4,True
TRX001413,2023-03-19,CLI1193,Deposito,3333064.38,Alimentación,Cartagena,Cajero,20:42,Exitosa,3333064.38,2023,3,6,Q1,Muy Grande,20,True
TRX000466,2023-05-23,CLI2485,Transferencia,4454145.61,Alimentación,Cartagena,App Móvil,05:45,Exitosa,4454145.61,2023,5,1,Q2,Muy Grande,5,True
TRX006275,2023-08-19,CLI4321,Compra,-1770825.1,Otros,Cartagena,Web,2:36,Exitosa,1770825.1,2023,8,5,Q3,Grande,2,True
TRX001421,2023-08-13,CLI1233,Retiro,-2140129.27,Salario,Bogotá,Cajero,01:00,Exitosa,2140129.27,2023,8,6,Q3,Muy Grande,1,True
TRX007124,2024-12-22,CLI3127,Retiro,-1690298.91,Salario,Barranquilla,Cajero,18:08,Exitosa,1690298.91,2024,12,6,Q4,Grande,18,False
TRX005706,2023-06-13,CLI3932,Transferencia,4624098.31,Salario,Medellín,Web,21:43,Exitosa,4624098.31,2023,6,1,Q2,Muy Grande,21,True
TRX002184,2024-10-03,CLI1921,Pago De Servicio,-2915956.72,Transporte,Barranquilla,Web,14:44,Fallida,2915956.72,2024,10,3,Q4,Muy Grande,14,False
TRX002803,2023-07-20,CLI3511,Transferencia,1883756.76,Alimentación,Barranquilla,Sucursal,14:27,Fallida,1883756.76,2023,7,3,Q3,Grande,14,False
TRX004664,2023-05-03,CLI4648,Depósito,2378560.44,Salud,Cartagena,Cajero,21:36,Pendiente,2378560.44,2023,5,2,Q2,Muy Grande,21,False
TRX006022,2024-07-08,CLI4971,Compra,-550650.67,Salud,Bogotá,Sucursal,13:01,Fallida,550650.67,2024,7,0,Q3,Grande,13,False
TRX006434,2023-03-14,CLI4824,Transferencia,1980679.18,Transporte,Bogotá,Cajero,8:50,Pendiente,1980679.18,2023,3,1,Q1,Grande,8,False
TRX000764,2024-12-24,CLI4696,Pago De Servicio,-1983590.41,Alimentación,Bogotá,Sucursal,11:41,Exitosa,1983590.41,2024,12,1,Q4,Grande,11,False
TRX000094,2023-04-19,CLI2788,Pago De Servicio,-876996.29,Alimentación,Barranquilla,App Móvil,23:21,Exitosa,876996.29,2023,4,2,Q2,Grande,23,False
TRX005565,2024-11-22,CLI3631,Transferencia,3613599.76,Entretenimiento,Cartagena,Web,13:24,Exitosa,3613599.76,2024,11,4,Q4,Muy Grande,13,True
TRX005199,2023-11-14,CLI4872,Retiro,-1592490.8,Servicios,Medellín,Cajero,07:37,Pendiente,1592490.8,2023,11,1,Q4,Grande,7,False
TRX000102,2023-12-03,CLI3635,Transferencia,3367076.18,Transporte,Cartagena,Cajero,20:42,Exitosa,3367076.18,2023,12,6,Q4,Muy Grande,20,True
TRX004351,2023-06-21,CLI1670,Transferencia,4799015.42,Salario,Cartagena,Web,3:15,Exitosa,4799015.42,2023,6,2,Q2,Muy Grande,3,True
TRX004246,2023-10-09,CLI2853,Deposito,2086871.16,Alimentación,Cartagena,Sucursal,11:01,Exitosa,2086871.16,2023,10,0,Q4,Muy Grande,11,False
TRX007925,2023-10-31,CLI3528,Pago De Servicio,-929381.66,Educacion,Barranquilla,Sucursal,14:03,Pendiente,929381.66,2023,10,1,Q4,Grande,14,False
TRX000316,2024-02-09,CLI3742,Retiro,-2951096.82,Alimentacion,Medellín,Cajero,02:35,Pendiente,2951096.82,2024,2,4,Q1,Muy Grande,2,True
TRX007885,2024-12-08,CLI4850,Retiro,-1133536.12,Educacion,Bogotá,Web,17:15,Fallida,1133536.12,2024,12,6,Q4,Grande,17,False
TRX001784,2024-09-25,CLI2530,Pago De Servicio,-983923.96,Alimentación,Medellín,Cajero,22:37,Fallida,983923.96,2024,9,2,Q3,Grande,22,False
TRX004349,2024-11-17,CLI1338,Pago De Servicio,-648219.06,Otros,Cartagena,Web,13:30,Exitosa,648219.06,2024,11,6,Q4,Grande,13,False
TRX006042,2024-08-30,CLI1574,Retiro,-1424508.42,Salud,Barranquilla,Sucursal,19:57,Exitosa,1424508.42,2024,8,4,Q3,Grande,19,False
TRX001607,2023-02-01,CLI1833,Pago De Servicio,-3164064.17,Salario,Cartagena,Cajero,14:10,Pendiente,3164064.17,2023,2,2,Q1,Muy Grande,14,True
TRX001026,2024-01-24,CLI2862,Deposito,1244824.27,Otros,Medellín,App Móvil,09:35,Exitosa,1244824.27,2024,1,2,Q1,Grande,9,False
TRX001003,2024-02-10,CLI3628,Transferencia,2763082.72,Alimentación,Bogotá,Web,05:07,Exitosa,2763082.72,2024,2,5,Q1,Muy Grande,5,False
TRX002143,2023-12-04,CLI1474,Transferencia,4094503.19,Sin Categoría,Cartagena,Web,05:29,Pendiente,4094503.19,2023,12,0,Q4,Muy Grande,5,True
TRX004858,2024-06-03,CLI1473,Deposito,2903851.62,Alimentación,Bogotá,Cajero,00:56,Pendiente,2903851.62,2024,6,0,Q2,Muy Grande,0,True
TRX000998,2023-03-04,CLI4004,Pago De Servicio,-1051769.36,Sin Categoría,Barranquilla,Web,22:52,Exitosa,1051769.36,2023,3,5,Q1,Grande,22,False
TRX000541,2024-06-12,CLI2342,Pago De Servicio,-1647457.02,Alimentación,Bogotá,Web,13:56,Exitosa,1647457.02,2024,6,2,Q2,Grande,13,False
TRX007240,2024-06-10,CLI1571,Transferencia,2239775.29,Salud,Bogotá,Cajero,17:05,Exitosa,2239775.29,2024,6,0,Q2,Muy Grande,17,False
TRX002252,2023-07-23,CLI1111,Compra,-1755797.17,Salud,Cali,App Móvil,10:54,Fallida,1755797.17,2023,7,6,Q3,Grande,10,False
TRX007095,2024-07-24,CLI2943,Transferencia,2576689.59,Alimentación,Cali,App Móvil,07:42,Exitosa,2576689.59,2024,7,2,Q3,Muy Grande,7,False
TRX005588,2024-07-25,CLI3754,Transferencia,131209.43,Salud,Bogotá,Web,23:55,Pendiente,131209.43,2024,7,3,Q3,Mediano,23,False
TRX003143,2024-04-21,CLI4832,Transferencia,756986.99,Otros,Bogotá,Cajero,20:47,Exitosa,756986.99,2024,4,6,Q2,Grande,20,False
TRX002836,2023-01-21,CLI2723,Transferencia,368475.87,Educación,Cartagena,App Móvil,02:23,Exitosa,368475.87,2023,1,5,Q1,Mediano,2,False
TRX002167,2024-12-23,CLI1869,Deposito,2172084.33,Otros,Barranquilla,Web,17:38,Exitosa,2172084.33,2024,12,0,Q4,Muy Grande,17,False
TRX003287,2024-08-15,CLI4995,Pago De Servicio,-344570.16,Salario,Bogotá,Web,23:08,Pendiente,344570.16,2024,8,3,Q3,Mediano,23,False
TRX007602,2024-11-30,CLI1103,Retiro,-1833252.3,Educacion,Cartagena,Web,15:04,Fallida,1833252.3,2024,11,5,Q4,Grande,15,False
TRX006024,2024-01-15,CLI3737,Pago De Servicio,-708591.89,Educacion,Barranquilla,Sucursal,01:27,Fallida,708591.89,2024,1,0,Q1,Grande,1,False
TRX001316,2024-03-29,CLI4133,Pago De Servicio,-1690604.37,Alimentacion,Medellín,App Móvil,22:47,Exitosa,1690604.37,2024,3,4,Q1,Grande,22,False
TRX002579,2023-08-19,CLI4878,Deposito,1636428.7,Alimentacion,Medellín,App Móvil,14:06,Fallida,1636428.7,2023,8,5,Q3,Grande,14,False
TRX001204,2023-06-27,CLI4298,Pago De Servicio,-4048259.31,Alimentación,Bogotá,Sucursal,02:08,Exitosa,4048259.31,2023,6,1,Q2,Muy Grande,2,True
TRX004757,2024-08-26,CLI2068,Transferencia,4265431.16,Salud,Bogotá,Cajero,20:22,Exitosa,4265431.16,2024,8,0,Q3,Muy Grande,20,True
TRX004635,2023-04-18,CLI2002,Retiro,-873791.45,Salud,Cali,Web,07:57,Exitosa,873791.45,2023,4,1,Q2,Grande,7,False
TRX005925,2023-12-05,CLI1125,Transferencia,4343967.67,Educación,Bogotá,Sucursal,18:26,Exitosa,4343967.67,2023,12,1,Q4,Muy Grande,18,True
TRX000683,2023-12-09,CLI3172,Transferencia,3413194.89,Transporte,Cali,App Móvil,11:56,Exitosa,3413194.89,2023,12,5,Q4,Muy Grande,11,True
